image;X;Y;issues
spotassay_019_00.jpg;68;180;False
spotassay_019_01.jpg;99;81;True
spotassay_019_02.jpg;67;140;False
spotassay_019_03.jpg;77;221;False
spotassay_020_00.jpg;88;187;False
spotassay_020_01.jpg;52;140;False
spotassay_020_02.jpg;76;63;False
spotassay_020_03.jpg;44;67;False
spotassay_021_00.jpg;44;83;False
spotassay_021_01.jpg;63;77;False
spotassay_021_02.jpg;60;170;False
spotassay_021_03.jpg;47;58;False
spotassay_022_00.jpg;99;180;False
spotassay_022_01.jpg;93;61;False
spotassay_022_02.jpg;42;76;False
spotassay_022_03.jpg;104;253;False
spotassay_023_00.jpg;90;159;False
spotassay_023_01.jpg;52;70;False
spotassay_023_02.jpg;29;79;False
spotassay_023_03.jpg;76;115;False
spotassay_024_00.jpg;51;163;False
spotassay_024_01.jpg;45;65;False
spotassay_024_02.jpg;68;68;False
spotassay_024_03.jpg;54;76;False
spotassay_025_00.jpg;100;60;False
spotassay_025_01.jpg;86;22;False
spotassay_025_02.jpg;74;285;False
spotassay_025_03.jpg;93;163;False
spotassay_026_00.jpg;54;33;False
spotassay_026_01.jpg;54;56;False
spotassay_026_02.jpg;102;251;False
spotassay_026_03.jpg;65;187;False
spotassay_027_00.jpg;108;92;False
spotassay_027_01.jpg;118;35;False
spotassay_027_02.jpg;76;100;False
spotassay_027_03.jpg;62;175;False
spotassay_028_00.jpg;75;120;False
spotassay_028_01.jpg;109;140;False
spotassay_028_02.jpg;40;217;False
spotassay_028_03.jpg;88;223;False
spotassay_029_00.jpg;48;110;False
spotassay_029_01.jpg;102;69;False
spotassay_029_02.jpg;44;217;False
spotassay_029_03.jpg;96;180;False
spotassay_030_00.jpg;79;79;False
spotassay_030_01.jpg;92;113;False
spotassay_030_02.jpg;37;149;False
spotassay_030_03.jpg;96;230;False
spotassay_031_00.jpg;67;187;False
spotassay_031_01.jpg;96;152;False
spotassay_031_02.jpg;42;208;False
spotassay_031_03.jpg;90;235;False
